81306 1768149
3 40496 0.043478
3 44715 0.045455
3 44720 0.032258
3 44726 0.050000
3 45777 0.026316
3 47874 0.033333
3 47886 0.090909
3 52396 0.500000
3 54163 0.052632
3 54448 0.090909
3 56975 0.083333
3 58272 0.022727
3 60967 0.045455
3 62847 0.040000
3 62859 0.020408
3 62879 0.055556
3 62902 0.111111
3 62920 0.040000
3 62931 0.250000
3 62943 0.100000
3 67425 0.083333
3 67493 0.200000
3 69186 0.125000
3 69190 0.166667
3 69199 0.166667
4 0 0.005556
4 1 0.000406
4 5 0.001008
4 9 0.001326
4 10 0.001739
4 20 0.004673
4 23 0.002208
4 24 0.002008
4 25 0.007812
4 28 0.002066
4 30 0.000955
4 32 0.003774
4 34 0.004854
4 36 0.001996
4 40 0.002188
4 41 0.007143
4 42 0.001401
4 44 0.003676
4 45 0.002817
4 50 0.004032
4 53 0.012048
4 54 0.002770
4 56 0.000867
4 59 0.002762
4 61 0.005025
4 63 0.000311
4 66 0.008333
4 67 0.005263
4 71 0.006024
4 78 0.000405
4 81 0.002114
4 82 0.003077
4 83 0.003861
4 87 0.001093
4 89 0.003279
4 90 0.000366
4 93 0.027027
4 101 0.001156
4 110 0.004717
4 119 0.013158
4 133 0.001408
4 139 0.001761
4 142 0.003401
4 156 0.002481
4 173 0.001692
4 174 0.071429
4 184 0.002299
4 378 0.001639
4 4484 0.001095
4 15927 0.007299
4 19682 0.002088
4 19684 0.033333
4 19685 0.013699
4 19688 0.010309
4 19693 0.005952
4 19694 0.006211
4 19696 0.004566
4 19714 0.005102
4 19717 0.004630
4 19720 0.004505
4 19725 0.008696
4 19727 0.002653
4 19729 0.002375
4 19730 0.010000
4 19731 0.004049
4 19742 0.007752
4 19745 0.005952
4 19746 0.002950
4 19751 0.333333
4 19753 0.083333
4 19770 0.020833
4 19785 0.006757
4 19786 0.018182
4 19798 0.250000
4 23168 0.004329
4 24331 0.006098
4 24336 0.009524
4 24343 0.007519
4 24346 0.004651
4 24347 0.009804
4 24349 0.002119
4 24353 0.003788
4 24354 0.027778
4 24363 0.006329
4 24367 0.007874
4 24369 0.011111
4 24374 0.010101
4 24383 0.066667
4 30644 0.016667
4 30652 0.022727
4 30657 0.010526
4 30678 0.008197
4 30682 0.011905
4 30693 0.025000
4 36484 0.020408
4 36486 0.100000
4 36494 0.022727
4 36639 0.006667
4 36678 0.010417
4 38939 0.010638
4 38944 0.012821
4 38950 0.007092
4 40486 0.009434
4 40487 0.021739
4 40505 0.062500
4 40511 0.009524
4 40532 0.090909
4 40658 0.040000
4 40669 0.028571
4 40679 0.008621
4 40688 0.016129
4 40691 0.015152
4 40722 0.071429
4 40737 0.100000
4 40741 0.043478
4 40761 0.083333
4 43873 0.007407
4 43880 0.008696
4 43902 0.090909
4 45527 0.083333
4 45644 0.016949
4 45652 0.076923
4 45691 0.071429
4 53156 0.019231
4 53157 0.032258
4 53569 0.166667
4 54900 0.027027
4 54911 0.037037
4 54912 0.016129
4 54919 0.083333
5 1 0.000406
5 9 0.001326
5 43 0.003984
5 63 0.000311
5 68 0.008929
5 78 0.000405
5 90 0.000366
5 144 0.005848
5 156 0.002481
5 4499 0.007042
5 4546 0.010526
5 15904 0.010309
5 15918 0.012821
5 15927 0.007299
5 15937 0.004545
5 15939 0.012821
5 15949 0.018182
5 16002 0.013699
5 16010 0.016393
5 18153 0.005714
5 19773 0.011765
5 23175 0.015385
5 23401 0.071429
5 23428 0.045455
5 24342 0.017241
5 30309 0.062500
5 30373 0.062500
5 32408 0.250000
5 37379 0.010989
5 37386 0.020000
5 37388 0.031250
5 37396 0.034483
5 37401 0.037037
5 37402 0.035714
5 37403 0.023810
5 37408 0.019608
5 37411 0.028571
5 37412 0.020833
5 37418 0.040000
5 37430 0.037037
5 37440 0.019608
5 37441 0.052632
5 37445 0.029412
5 37447 0.030303
5 37449 0.027027
5 37469 0.031250
5 37473 0.009615
5 37476 0.047619
5 37488 0.083333
5 37497 0.100000
5 37748 0.125000
5 37749 0.100000
5 37750 0.125000
5 37751 0.018868
5 37752 0.166667
5 37753 0.200000
5 37754 0.017857
5 37755 0.142857
5 37756 0.250000
5 37757 0.125000
5 37758 0.142857
6 0 0.005556
6 1 0.000406
6 2 0.004082
6 3 0.001464
6 5 0.001008
6 7 0.015385
6 8 0.005556
6 9 0.001326
6 10 0.001739
6 18 0.002778
6 21 0.005291
6 23 0.002208
6 30 0.000955
6 31 0.011111
6 32 0.003774
6 35 0.002786
6 36 0.001996
6 38 0.009901
6 39 0.002778
6 40 0.002188
6 41 0.007143
6 44 0.003676
6 49 0.003436
6 50 0.004032
6 57 0.006329
6 58 0.006849
6 59 0.002762
6 60 0.038462
6 61 0.005025
6 63 0.000311
6 66 0.008333
6 74 0.005263
6 75 0.005952
6 76 0.003509
6 78 0.000405
6 81 0.002114
6 82 0.003077
6 87 0.001093
6 88 0.018182
6 89 0.003279
6 90 0.000366
6 92 0.003279
6 94 0.001988
6 97 0.014286
6 100 0.004274
6 101 0.001156
6 107 0.004292
6 122 0.011494
6 124 0.005650
6 125 0.035714
6 126 0.041667
6 127 0.012500
6 128 0.005525
6 129 0.014493
6 138 0.014493
6 139 0.001761
6 151 0.001404
6 166 0.027027
6 174 0.071429
6 378 0.001639
6 1862 0.025000
6 1864 0.009615
6 1865 0.023810
6 1867 0.003460
6 4428 0.001024
6 4484 0.001095
6 19680 0.005435
6 19682 0.002088
6 19691 0.006369
6 19699 0.018868
6 19714 0.005102
6 19727 0.002653
6 19729 0.002375
6 19731 0.004049
6 19732 0.004386
6 19744 0.007576
6 19756 0.008621
6 19757 0.006993
6 23168 0.004329
6 23185 0.011628
6 23205 0.005236
6 24338 0.006098
6 24363 0.006329
6 30655 0.034483
6 30660 0.030303
6 30668 0.011905
6 30681 0.014286
6 30701 0.034483
6 36646 0.035714
6 38944 0.012821
6 40183 0.019608
6 40185 0.033333
6 41841 0.032258
6 44727 0.011364
6 45629 0.058824
6 47989 0.032258
6 50685 0.200000
7 1 0.000406
7 5 0.001008
7 9 0.001326
7 10 0.001739
7 63 0.000311
7 78 0.000405
7 81 0.002114
7 90 0.000366
7 139 0.001761
7 19719 0.009524
7 19742 0.007752
7 19755 0.003937
7 41905 0.050000
7 61388 0.076923
8 0 0.005556
8 1 0.000406
8 2 0.004082
8 3 0.001464
8 5 0.001008
8 6 0.013889
8 7 0.015385
8 9 0.001326
8 10 0.001739
8 11 0.005155
8 15 0.002445
8 16 0.002083
8 18 0.002778
8 20 0.004673
8 23 0.002208
8 24 0.002008
8 28 0.002066
8 29 0.007092
8 31 0.011111
8 32 0.003774
8 34 0.004854
8 35 0.002786
8 36 0.001996
8 38 0.009901
8 39 0.002778
8 40 0.002188
8 41 0.007143
8 42 0.001401
8 43 0.003984
8 44 0.003676
8 46 0.004525
8 49 0.003436
8 50 0.004032
8 54 0.002770
8 56 0.000867
8 57 0.006329
8 58 0.006849
8 59 0.002762
8 61 0.005025
8 63 0.000311
8 64 0.006135
8 66 0.008333
8 67 0.005263
8 75 0.005952
8 76 0.003509
8 78 0.000405
8 80 0.008403
8 81 0.002114
8 82 0.003077
8 83 0.003861
8 85 0.003953
8 89 0.003279
8 90 0.000366
8 92 0.003279
8 94 0.001988
8 97 0.014286
8 101 0.001156
8 106 0.001587
8 107 0.004292
8 121 0.004329
8 122 0.011494
8 124 0.005650
8 128 0.005525
8 130 0.024390
8 134 0.003937
8 137 0.008065
8 139 0.001761
8 142 0.003401
8 144 0.005848
8 151 0.001404
8 153 0.001984
8 156 0.002481
8 171 0.023810
8 173 0.001692
8 184 0.002299
8 378 0.001639
8 1253 0.005495
8 1864 0.009615
8 1865 0.023810
8 1867 0.003460
8 4484 0.001095
8 19679 0.020000
8 19680 0.005435
8 19682 0.002088
8 19686 0.023810
8 19691 0.006369
8 19693 0.005952
8 19696 0.004566
8 19711 0.002865
8 19714 0.005102
8 19715 0.012346
8 19717 0.004630
8 19720 0.004505
8 19727 0.002653
8 19729 0.002375
8 19731 0.004049
8 19740 0.071429
8 19741 0.004255
8 19744 0.007576
8 19745 0.005952
8 19746 0.002950
8 19749 0.002597
8 19755 0.003937
8 19756 0.008621
8 19757 0.006993
8 19764 0.166667
8 19779 0.011628
8 19784 0.023256
8 19785 0.006757
8 20165 0.003040
8 20200 0.016393
8 23168 0.004329
8 23169 0.012500
8 23172 0.015625
8 23179 0.003344
8 23198 0.011111
8 23205 0.005236
8 24333 0.004950
8 24338 0.006098
8 24346 0.004651
8 24347 0.009804
8 24349 0.002119
8 24353 0.003788
8 24363 0.006329
8 24365 0.012346
8 24369 0.011111
8 24375 0.027778
8 24383 0.066667
8 27108 0.011628
8 30644 0.016667
8 30645 0.013514
8 30657 0.010526
8 30661 0.047619
8 30681 0.014286
8 30682 0.011905
8 30685 0.035714
8 36485 0.016393
8 36646 0.035714
8 36660 0.007353
8 37385 0.019231
8 38950 0.007092
8 38958 0.100000
8 39661 0.023256
8 40185 0.033333
8 41850 0.200000
8 41858 0.018868
8 43873 0.007407
8 43874 0.034483
8 43875 0.022727
8 43877 0.022727
8 43880 0.008696
8 44720 0.032258
8 45156 0.020408
8 45162 0.055556
8 45168 0.090909
8 54888 0.038462
8 56241 0.032258
9 1 0.000406
9 30 0.000955
9 42 0.001401
9 56 0.000867
9 63 0.000311
9 78 0.000405
9 87 0.001093
9 100 0.004274
9 133 0.001408
9 162 0.004167
9 1867 0.003460
9 4484 0.001095
9 4499 0.007042
9 8858 0.005102
9 15886 0.052632
9 15888 0.007299
9 15891 0.007407
9 15893 0.014493
9 15899 0.016667
9 15901 0.014925
9 15903 0.029412
9 15904 0.010309
9 15905 0.011905
9 15911 0.034483
9 15915 0.023810
9 15925 0.034483
9 15926 0.035714
9 15930 0.024390
9 15935 0.025000
9 15936 0.023810
9 15939 0.012821
9 15940 0.006536
9 15941 0.012048
9 15942 0.076923
9 15944 0.050000
9 15946 0.015385
9 15949 0.018182
9 15950 0.013333
9 15954 0.066667
9 15961 0.012821
9 15980 0.050000
9 15984 0.018519
9 16002 0.013699
9 16010 0.016393
9 16022 0.020833
9 16023 0.019608
9 16025 0.062500
9 16029 0.045455
9 16041 0.083333
9 16042 0.013333
9 16046 0.062500
9 16048 0.015873
9 16069 0.047619
9 16081 0.029412
9 18153 0.005714
9 19410 0.007937
9 19719 0.009524
9 19724 0.016949
9 19755 0.003937
9 22291 0.023810
9 22293 0.030303
9 22320 0.062500
9 23175 0.015385
9 23401 0.071429
9 24366 0.045455
9 27336 0.033333
9 30309 0.062500
9 35754 0.058824
9 35880 0.005747
9 35914 0.027027
9 37377 0.100000
9 37380 0.083333
9 37381 0.050000
9 37385 0.019231
9 37386 0.020000
9 37387 0.062500
9 37388 0.031250
9 37389 0.125000
9 37390 0.166667
9 37394 0.031250
9 37395 0.041667
9 37397 0.052632
9 37398 0.041667
9 37401 0.037037
9 37402 0.035714
9 37403 0.023810
9 37404 0.055556
9 37405 0.071429
9 37406 0.047619
9 37408 0.019608
9 37409 0.027027
9 37410 0.100000
9 37412 0.020833
9 37415 0.062500
9 37416 0.058824
9 37417 0.025641
9 37418 0.040000
9 37419 0.052632
9 37420 0.038462
9 37427 0.047619
9 37428 0.058824
9 37433 0.142857
9 37434 0.037037
9 37439 0.100000
9 37440 0.019608
9 37443 0.083333
9 37445 0.029412
9 37447 0.030303
9 37449 0.027027
9 37452 0.047619
9 37454 0.043478
9 37455 0.142857
9 37456 0.200000
9 37458 0.111111
9 37461 0.052632
9 37463 0.111111
9 37464 0.055556
9 37465 0.027778
9 37468 0.166667
9 37470 0.142857
9 37473 0.009615
9 37476 0.047619
9 37479 0.200000
9 37483 0.166667
9 37484 0.125000
9 37485 0.034483
9 37488 0.083333
9 37508 0.125000
9 37510 0.250000
9 37748 0.125000
9 37749 0.100000
9 37751 0.018868
9 37755 0.142857
9 37757 0.125000
9 37758 0.142857
9 40652 0.035714
9 41905 0.050000
9 50673 0.020833
9 60966 0.038462
9 60969 0.076923
9 60972 0.090909
9 60973 0.062500
9 61388 0.076923
9 62255 0.083333
9 67966 0.200000
9 67971 0.500000
10 0 0.005556
10 1 0.000406
10 4 0.003425
10 5 0.001008
10 7 0.015385
10 8 0.005556
10 9 0.001326
10 11 0.005155
10 12 0.003731
10 16 0.002083
10 18 0.002778
10 20 0.004673
10 23 0.002208
10 24 0.002008
10 25 0.007812
10 28 0.002066
10 30 0.000955
10 31 0.011111
10 32 0.003774
10 35 0.002786
10 36 0.001996
10 37 0.009804
10 38 0.009901
10 39 0.002778
10 40 0.002188
10 41 0.007143
10 42 0.001401
10 43 0.003984
10 44 0.003676
10 45 0.002817
10 49 0.003436
10 50 0.004032
10 53 0.012048
10 54 0.002770
10 56 0.000867
10 57 0.006329
10 58 0.006849
10 59 0.002762
10 61 0.005025
10 63 0.000311
10 64 0.006135
10 66 0.008333
10 67 0.005263
10 68 0.008929
10 71 0.006024
10 75 0.005952
10 76 0.003509
10 78 0.000405
10 80 0.008403
10 81 0.002114
10 82 0.003077
10 83 0.003861
10 85 0.003953
10 87 0.001093
10 88 0.018182
10 89 0.003279
10 90 0.000366
10 92 0.003279
10 94 0.001988
10 100 0.004274
10 101 0.001156
10 106 0.001587
10 110 0.004717
10 113 0.008000
10 124 0.005650
10 128 0.005525
10 137 0.008065
10 139 0.001761
10 142 0.003401
10 151 0.001404
10 153 0.001984
10 156 0.002481
10 166 0.027027
10 167 0.011905
10 184 0.002299
10 216 0.022727
10 378 0.001639
10 1866 0.100000
10 1939 0.019608
10 4470 0.003378
10 6510 0.003425
10 9931 0.062500
10 15901 0.014925
10 15937 0.004545
10 15973 0.008772
10 19680 0.005435
10 19682 0.002088
10 19685 0.013699
10 19686 0.023810
10 19691 0.006369
10 19694 0.006211
10 19697 0.018868
10 19700 0.002890
10 19706 0.090909
10 19709 0.003344
10 19710 0.090909
10 19711 0.002865
10 19715 0.012346
10 19719 0.009524
10 19720 0.004505
10 19725 0.008696
10 19727 0.002653
10 19729 0.002375
10 19730 0.010000
10 19731 0.004049
10 19739 0.007299
10 19744 0.007576
10 19745 0.005952
10 19746 0.002950
10 19749 0.002597
10 19755 0.003937
10 19757 0.006993
10 19761 0.010101
10 19762 0.058824
10 19764 0.166667
10 19765 0.014085
10 19768 0.006289
10 19770 0.020833
10 19776 0.009174
10 19785 0.006757
10 19793 0.071429
10 20173 0.016949
10 20179 0.008850
10 23168 0.004329
10 23169 0.012500
10 23179 0.003344
10 24338 0.006098
10 24347 0.009804
10 24348 0.011905
10 24351 0.018182
10 24353 0.003788
10 24363 0.006329
10 24369 0.011111
10 24374 0.010101
10 24381 0.027027
10 24389 0.020408
10 30644 0.016667
10 30651 0.037037
10 30652 0.022727
10 30657 0.010526
10 30678 0.008197
10 30681 0.014286
10 30693 0.025000
10 30696 0.017241
10 30709 0.047619
10 32457 0.040000
10 36484 0.020408
10 36494 0.022727
10 36639 0.006667
10 37492 0.142857
10 38940 0.014493
10 38944 0.012821
10 38954 0.034483
10 38958 0.100000
10 39610 0.006667
10 40183 0.019608
10 40184 0.022727
10 40486 0.009434
10 40487 0.021739
10 40500 0.010989
10 40651 0.055556
10 40662 0.071429
10 40669 0.028571
10 40673 0.043478
10 40674 0.166667
10 40676 0.023810
10 40679 0.008621
10 40683 0.023810
10 40685 0.031250
10 40691 0.015152
10 40692 0.111111
10 40693 0.055556
10 40711 0.047619
10 40713 0.047619
10 41848 0.027778
10 41867 0.024390
10 41869 0.008929
10 41870 0.100000
10 41871 0.166667
10 41893 0.090909
10 41898 0.015152
10 43873 0.007407
10 43875 0.022727
10 43877 0.022727
10 43883 0.017857
10 43891 0.012195
10 44715 0.045455
10 44718 0.100000
10 44720 0.032258
10 45169 0.166667
10 45618 0.058824
10 45644 0.016949
10 45652 0.076923
10 45654 0.019608
10 47990 0.111111
10 48002 0.040000
10 50670 0.034483
10 53564 0.125000
10 53570 0.250000
10 53581 0.047619
10 54888 0.038462
10 54896 0.020000
10 54898 0.071429
10 54900 0.027027
10 54902 0.020833
10 54911 0.037037
10 54925 0.090909
10 58167 0.058824
10 66477 0.023256
10 66480 0.055556
10 66482 0.166667
10 66500 0.250000
10 68986 0.024390
10 68996 0.062500
10 75277 0.111111
11 0 0.005556
11 1 0.000406
11 2 0.004082
11 4 0.003425
11 5 0.001008
11 8 0.005556
11 9 0.001326
11 10 0.001739
11 12 0.003731
11 13 0.001111
11 15 0.002445
11 18 0.002778
11 20 0.004673
11 25 0.007812
11 30 0.000955
11 34 0.004854
11 35 0.002786
11 39 0.002778
11 40 0.002188
11 41 0.007143
11 42 0.001401
11 43 0.003984
11 44 0.003676
11 45 0.002817
11 49 0.003436
11 50 0.004032
11 53 0.012048
11 54 0.002770
11 55 0.005181
11 56 0.000867
11 59 0.002762
11 61 0.005025
11 63 0.000311
11 64 0.006135
11 66 0.008333
11 67 0.005263
11 68 0.008929
11 71 0.006024
11 74 0.005263
11 75 0.005952
11 76 0.003509
11 78 0.000405
11 79 0.004065
11 80 0.008403
11 81 0.002114
11 82 0.003077
11 85 0.003953
11 87 0.001093
11 89 0.003279
11 90 0.000366
11 92 0.003279
11 94 0.001988
11 97 0.014286
11 100 0.004274
11 102 0.007752
11 106 0.001587
11 107 0.004292
11 110 0.004717
11 111 0.003003
11 115 0.007463
11 122 0.011494
11 124 0.005650
11 127 0.012500
11 129 0.014493
11 133 0.001408
11 137 0.008065
11 138 0.014493
11 139 0.001761
11 142 0.003401
11 144 0.005848
11 148 0.016667
11 151 0.001404
11 153 0.001984
11 156 0.002481
11 165 0.002092
11 173 0.001692
11 178 0.071429
11 184 0.002299
11 378 0.001639
11 695 0.008547
11 1862 0.025000
11 1863 0.002538
11 1865 0.023810
11 1867 0.003460
11 2446 0.003367
11 3766 0.035714
